image,produto,preco,cents,loja,reviews rating number,reviews amount
https://http2.mlstatic.com/D_NQ_NP_994790-MLU76221811211_052024-W.webp,1x Arandela Duplo Facho Longo Externa Dicroica Alumínio Luminária Parede MF164 Cor Preto 110V/220V,40,59,por Forteled,4.6,(15)
https://http2.mlstatic.com/D_NQ_NP_669119-MLB52178034240_102022-W.webp,Arandela Facho De Luz Parede Muro E27 P/ Lâmpada Padrão,33,80,,4.6,(140)
https://http2.mlstatic.com/D_NQ_NP_814108-MLU74610379591_022024-W.webp,Arandela Externa MF115 Luminária de Parede com LED Branco Quente 5w G9,38,84,por Forteled,4.6,(235)
https://http2.mlstatic.com/D_NQ_NP_740320-MLU74314103976_022024-W.webp,Arandela Retangular 5 Vidros Em Alumínio- Soquete E27 Cor Branco 110v/220v,61,33,,2.6,(7)
https://http2.mlstatic.com/D_NQ_NP_890755-MLU73566354789_122023-W.webp,"Arandela Externa Duplo Foco Longo + 2 Led Dicroica Gu10 6,5w Cor Preto Led Quente",78,99,por DAZ Iluminacao,4.8,(64)
https://http2.mlstatic.com/D_NQ_NP_724607-MLB48323512807_112021-W.webp,Kit 5 Luminárias Arandela Preta Tartaruga C/ Grade Opl,68,61,,4.6,(118)
https://http2.mlstatic.com/D_NQ_NP_848565-MLU74225617302_022024-W.webp,Arandela De Parede Externa 6w Luminária Efeito Cor Preto,42,99,por DAZ Iluminacao,4.5,(35)
https://http2.mlstatic.com/D_NQ_NP_944860-MLU73566990525_122023-W.webp,Arandela Box Com Abas Efeito Luminária Externa + Led Cor Preto Quente,69,90,por DAZ Iluminacao,4.4,(67)
https://http2.mlstatic.com/D_NQ_NP_903139-MLU75010360986_032024-W.webp,Arandela Luz Geral Ice 5w Stella 3000k 20cm Stl21701br/30 Cor Branco 110V/220V,152,90,por DH Led,5.0,(7)
https://http2.mlstatic.com/D_NQ_NP_878373-MLU73573314883_122023-W.webp,Arandela Interna Externa 2 Friso Led Incluso 3000k Preto 110V/220V (Bivolt),39,49,por Soox,4.6,(54)
https://http2.mlstatic.com/D_NQ_NP_738170-MLB73060753651_112023-W.webp,1x Arandela Externa Horizontal 3 Frisos + Led G9 5w mf 101,42,90,por Forteled,4.0,(1)
https://http2.mlstatic.com/D_NQ_NP_630514-MLB72365748685_102023-W.webp, Kit 6 Arandelas De Parede Externa E Interna 2 Focos,136,70,,4.3,(292)
https://http2.mlstatic.com/D_NQ_NP_841686-MLB53544546762_012023-W.webp,Kit 3 Arandelas Externa Tempo Alumínio 100w P/ Parede Poste,78,99,,4.7,(218)
https://http2.mlstatic.com/D_NQ_NP_862339-MLB51812776927_102022-W.webp,Arandela 213 Alumínio 5 Vidros Foco Externa Muro Parede E27 Cor Branco,46,70,,5.0,(13)
https://http2.mlstatic.com/D_NQ_NP_838764-MLU71900808296_092023-W.webp,Arandela Slim 2 Fachos 6 Frisos Externo Muro Parede Mf101 Cor Preto 110V/220V,25,61,,4.8,(13)
https://http2.mlstatic.com/D_NQ_NP_936864-MLU74414640575_022024-W.webp,Luminária Tipo Tartaruga De Ferro Branca,29,58,,4.0,(1)
https://http2.mlstatic.com/D_NQ_NP_962144-MLU73461327168_122023-W.webp,Arandela Box Com Abas Efeito Luminária Externa + Led Cor Preto/Frio,69,90,por DAZ Iluminacao,4.4,(67)
https://http2.mlstatic.com/D_NQ_NP_947368-MLB48911346572_012022-W.webp,5 Balizador 4x2 Sobrepor Led Fit Slim 2w Parede Escada Muro,135,10,,4.8,(50)
https://http2.mlstatic.com/D_NQ_NP_845262-MLU73568518411_122023-W.webp,Arandela Box Com Abas Efeito Luminária Externa Cor Preto,57,90,por DAZ Iluminacao,4.4,(67)
https://http2.mlstatic.com/D_NQ_NP_946378-MLB76676836749_052024-W.webp,Arandela Meia Lua Led Pto 4 Focos 8w Luz 3000k Ip66 Bivolt,55,90,,3.4,(9)
https://http2.mlstatic.com/D_NQ_NP_665371-MLU73473159468_122023-W.webp,Kit 10 Luminária Arandela Tartaruga Externa Sem Grade E27 Cor Branco,65,67,,4.5,(135)
https://http2.mlstatic.com/D_NQ_NP_947368-MLB48911346572_012022-W.webp,5 Balizador 4x2 Sobrepor Led Fit Slim 2w Parede Escada Muro,135,10,,4.8,(50)
https://http2.mlstatic.com/D_NQ_NP_832423-MLB76675558361_052024-W.webp,Arandela Meia Lua Led Pto 3 Focos 6w Luz 3000k Ip66 Bivolt,45,90,,4.7,(18)
https://http2.mlstatic.com/D_NQ_NP_970925-MLU74518391128_022024-W.webp,Arandela Parede Externa Preta Tubular Facho Duplo LED 10W Optimus PC 2 Luzes Gu10 À Prova D'Água IP65 LLUMM Bronzearte,139,90,,4.8,(10)
https://http2.mlstatic.com/D_NQ_NP_874155-MLU73475312106_122023-W.webp,Arandela Box Cubo Pequena 6 Fachos Parede Muro St1317 Cor Preto 110V/220V (Bivolt),43,68,por Starlumen,4.5,(205)
https://http2.mlstatic.com/D_NQ_NP_995461-MLU76040533504_052024-W.webp,1x Arandela Duplo Facho Longo Externa Dicroica Alumínio Luminária Parede MF164 Cor Marrom 110V/220V,40,59,por Forteled,4.6,(15)
https://http2.mlstatic.com/D_NQ_NP_739538-MLU73529830647_122023-W.webp,Arandela 2 Focos Efeito 6 Frisos Alumínio Externa St2754 Cor Marrom 110v/220v,46,53,por Starlumen,4.7,(28)
https://http2.mlstatic.com/D_NQ_NP_988865-MLB76478686326_052024-W.webp,Arandela Meia Lua Led Pto 3 Focos 6w Luz 3000k Ip66 Bivolt,45,90,,3.9,(10)
https://http2.mlstatic.com/D_NQ_NP_861230-MLB73927067811_012024-W.webp,Arandela 2 Focos E Frisos Externa Interna Parede Ar1015 Full,26,90,por Ideallume,4.7,(117)
https://http2.mlstatic.com/D_NQ_NP_700734-MLB70299993541_072023-W.webp,10 Balizador Led Slim 3000k 4w Bivolt Parede Escada Muro,199,17,,4.4,(25)
https://http2.mlstatic.com/D_NQ_NP_982960-MLU73474032158_122023-W.webp,Arandela Colonial Alumínio Vidro Preta E27 Qualidade Cor Preto 110V/220V,149,90,por DAZ Iluminacao,4.8,(61)
https://http2.mlstatic.com/D_NQ_NP_813826-MLU73552074839_122023-W.webp,Luminária Arandela Tartaruga Externa Grade e-27 Preto 110V/220V,19,39,,4.5,(747)
https://http2.mlstatic.com/D_NQ_NP_650978-MLU75008634745_032024-W.webp,Arandela Reflex Stella 72cm 20w Preta 3000k Sth9741pto/30 Cor Preto 110V/220V,601,40,por DH Led,4.9,(9)
https://http2.mlstatic.com/D_NQ_NP_704468-MLB76939782481_062024-W.webp,Arandela 2 Foco 2 Friso Externa Parede Alumínio Ar1112 Full,24,99,por Ideallume,4.6,(646)
https://http2.mlstatic.com/D_NQ_NP_806349-MLU73566338429_122023-W.webp,3 Arandela 5 Vidros Retangular Alumínio Muro Parede Externa Cor Preto 110V/220V,135,45,,4.8,(86)
https://http2.mlstatic.com/D_NQ_NP_873050-MLB76694301191_052024-W.webp,Arandela Triangular Alumínio Muro Parede Externa Interna,43,41,,4.8,(155)
https://http2.mlstatic.com/D_NQ_NP_969732-MLB75076546983_032024-W.webp,Kit 10 Arandela Tartaruga Led 18w Externo Interno Bivolt,192,60,,4.9,(17)
https://http2.mlstatic.com/D_NQ_NP_733214-MLB71654913637_092023-W.webp,Arandela Interna Parede Moderna Led Preta 2 Focos 8w 3000k,48,60,por CasaLed Mais,4.6,(91)
https://http2.mlstatic.com/D_NQ_NP_863592-MLU74857702023_032024-W.webp,Arandela Marrom Para Parede Externa Muro 2 Frisos E Focos Em Alumínio + Lâmpada Led 5w Branco Quente G9 Bivolt Mf115,39,90,por WS Distribuidora,4.6,(235)
https://http2.mlstatic.com/D_NQ_NP_953749-MLU73567135773_122023-W.webp,3 Arandela 5 Vidros Retangular Alumínio Muro Parede Externa Cor Marrom 110V/220V,135,45,,4.8,(86)
https://http2.mlstatic.com/D_NQ_NP_804322-MLB73407290891_122023-W.webp,Luminaria Arandela Tartaruga Led Preta 20w Externa Bivolt,36,80,,4.8,(10)
https://http2.mlstatic.com/D_NQ_NP_887128-MLU73466138790_122023-W.webp,Arandela Para 1 Lâmpada Gu10 - Ideal Cor Marrom 110V/220V,90,87,,4.6,(37)
https://http2.mlstatic.com/D_NQ_NP_611257-MLB54282288160_032023-W.webp,Arandela Triângulo Alumínio 2 Vidros Externa E27 Parede Muro,46,40,,5.0,(11)
https://http2.mlstatic.com/D_NQ_NP_658857-MLB70475462435_072023-W.webp,Arandela Katarina De 15cm Com 2 Frisos - Interno Ou Externo,23,50,,5.0,(3)
https://http2.mlstatic.com/D_NQ_NP_864065-MLB54337612769_032023-W.webp,3 Luminária Arandela Led Preta 8w Parede Externa 8 Fachos,145,50,por CasaLed Mais,4.4,(155)
https://http2.mlstatic.com/D_NQ_NP_944917-MLB73905169149_012024-W.webp,Arandela Slim 2 Foco 2 Friso Aluminio + Led 5w Ar1112 Full,42,90,por Ideallume,4.7,(220)
https://http2.mlstatic.com/D_NQ_NP_653910-MLU73531041682_122023-W.webp,Arandela De Parede Led Externa 2 Fachos Ajustavel Quadrada 110v/220v,50,8,,,
https://http2.mlstatic.com/D_NQ_NP_988865-MLB76478686326_052024-W.webp,Arandela Meia Lua Led Pto 3 Focos 6w Luz 3000k Ip66 Bivolt,45,90,,3.9,(10)
https://http2.mlstatic.com/D_NQ_NP_732339-MLB40606196844_012020-W.webp,Arandela 2 Focos E Frisos Externa Parede Muro ,29,90,,4.7,(1306)
https://http2.mlstatic.com/D_NQ_NP_620743-MLU74338322037_022024-W.webp,Arandela Preta Para Parede Externa Muro 2 Frisos E Focos Em Alumínio + Lâmpada Led 5w Branco Frio G9 Bivolt Mf115,39,71,por WS Distribuidora,4.6,(235)
https://http2.mlstatic.com/D_NQ_NP_756098-MLU73474085590_122023-W.webp,Arandela Focos Fachos Frisos 30cm P/ 2 Lâmpadas E27 St1286 Cor Branco 110V 220V (Bivolt),49,63,por Starlumen,4.7,(225)
https://http2.mlstatic.com/D_NQ_NP_703920-MLB32910267803_112019-W.webp,Arandela Externa Slim Dois Fachos Luminária Parede Interna ,22,90,,4.4,(210)
